username,row,total_selected_owned,count__bgg_golden_age_canon,count__amerithrash_miniatures_lcg,count__dungeon_crawl_cooperative_campaign_adventure,count__current_heavy_euro_engine_builders,count__historical_wargames_conflict_strategy,count__party_family_social_deduction,count__puzzle_nature_tableau_builders,count__medium_worker_placement_euros,count__cooperative_trick_taking_deduction,count__roll_and_write_number_dice_games,count__legacy_narrative_mystery,count__other,share__bgg_golden_age_canon,share__amerithrash_miniatures_lcg,share__dungeon_crawl_cooperative_campaign_adventure,share__current_heavy_euro_engine_builders,share__historical_wargames_conflict_strategy,share__party_family_social_deduction,share__puzzle_nature_tableau_builders,share__medium_worker_placement_euros,share__cooperative_trick_taking_deduction,share__roll_and_write_number_dice_games,share__legacy_narrative_mystery,share__other,dominant_dimension,dominant_share,included_share,profile_entropy_norm,n_active_dimensions
Tim1995,31,160,44,1,0,13,5,5,22,19,9,3,0,39,0.275,0.00625,0.0,0.08125,0.03125,0.03125,0.1375,0.11875,0.05625,0.01875,0.0,0.24375,bgg_golden_age_canon,0.275,0.75625,0.770118733685063,10
zhdam99,32,29,1,0,1,2,1,0,2,1,2,0,0,19,0.03448276,0.0,0.03448276,0.06896552,0.03448276,0.0,0.06896552,0.03448276,0.06896552,0.0,0.0,0.6551724,other,0.6551724,0.3448276,0.5210541636040501,8
stefon,33,84,8,5,6,5,2,7,4,2,11,1,3,30,0.0952381,0.05952381,0.071428575,0.05952381,0.023809524,0.083333336,0.04761905,0.023809524,0.13095239,0.011904762,0.035714287,0.35714287,other,0.35714287,0.64285713,0.8386844483238128,12
controlledinsanity,34,156,29,14,0,4,2,23,5,18,12,3,0,46,0.18589744,0.08974359,0.0,0.025641026,0.012820513,0.1474359,0.032051284,0.115384616,0.07692308,0.01923077,0.0,0.2948718,other,0.2948718,0.7051282,0.7863505157212002,10
sykano,35,128,25,8,7,23,2,5,3,12,4,1,1,37,0.1953125,0.0625,0.0546875,0.1796875,0.015625,0.0390625,0.0234375,0.09375,0.03125,0.0078125,0.0078125,0.2890625,other,0.2890625,0.7109375,0.806485889021651,12
khepriq,36,192,19,3,9,11,13,14,11,7,30,2,2,71,0.098958336,0.015625,0.046875,0.057291668,0.067708336,0.072916664,0.057291668,0.036458332,0.15625,0.010416667,0.010416667,0.36979166,other,0.36979166,0.6302084,0.8096777477064223,12
Lembaror,37,167,14,8,6,34,1,9,14,19,7,13,1,41,0.08383234,0.047904193,0.035928145,0.2035928,0.005988024,0.053892214,0.08383234,0.11377245,0.04191617,0.077844314,0.005988024,0.24550898,other,0.24550898,0.75449103,0.8641090750500424,12
Rikdom,38,121,22,30,15,4,8,8,1,5,1,0,3,24,0.18181819,0.24793388,0.12396694,0.03305785,0.0661157,0.0661157,0.008264462,0.041322313,0.008264462,0.0,0.024793388,0.1983471,amerithrash_miniatures_lcg,0.24793388,0.8016529,0.8088452182385484,11
b31o412345,39,5,0,0,0,4,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,current_heavy_euro_engine_builders,0.8,0.8,0.20137673622450583,2
big stone,40,195,64,25,1,1,4,23,0,50,0,3,0,24,0.32820514,0.12820514,0.0051282053,0.0051282053,0.020512821,0.11794872,0.0,0.25641027,0.0,0.015384615,0.0,0.12307692,bgg_golden_age_canon,0.32820514,0.8769231,0.6784811971617573,9
JasonSaastad,41,52,17,9,1,1,4,3,1,3,5,0,0,8,0.32692307,0.17307693,0.01923077,0.01923077,0.07692308,0.057692308,0.01923077,0.057692308,0.09615385,0.0,0.0,0.15384616,bgg_golden_age_canon,0.32692307,0.84615386,0.7793626220166109,10
Kentchangar,42,42,1,8,20,0,0,4,0,4,0,0,0,5,0.023809524,0.1904762,0.47619048,0.0,0.0,0.0952381,0.0,0.0952381,0.0,0.0,0.0,0.11904762,dungeon_crawl_cooperative_campaign_adventure,0.47619048,0.88095236,0.5873019979979115,6
tianxiaojuan,43,56,5,10,5,3,1,3,1,8,0,0,1,19,0.08928572,0.17857143,0.08928572,0.05357143,0.017857144,0.05357143,0.017857144,0.14285715,0.0,0.0,0.017857144,0.3392857,other,0.3392857,0.66071427,0.769847252513074,10
StalkerB,44,143,6,23,22,9,3,10,6,7,6,1,1,49,0.04195804,0.16083916,0.15384616,0.062937066,0.02097902,0.06993007,0.04195804,0.04895105,0.04195804,0.006993007,0.006993007,0.34265736,other,0.34265736,0.6573427,0.8073878838963177,12
Boltana,45,921,105,197,105,16,29,119,39,56,28,8,31,188,0.11400651,0.21389794,0.11400651,0.017372422,0.031487513,0.12920739,0.042345278,0.060803473,0.030401736,0.008686211,0.033659067,0.20412596,amerithrash_miniatures_lcg,0.21389794,0.79587406,0.8687658478659073,12
Chertovski,46,37,19,3,0,0,1,6,1,1,0,3,0,3,0.5135135,0.08108108,0.0,0.0,0.027027028,0.16216215,0.027027028,0.027027028,0.0,0.08108108,0.0,0.08108108,bgg_golden_age_canon,0.5135135,0.9189189,0.6201934843275004,8
jamespisanich,47,185,38,14,2,5,4,29,4,38,3,1,4,43,0.2054054,0.075675674,0.010810811,0.027027028,0.021621622,0.15675676,0.021621622,0.2054054,0.016216217,0.0054054055,0.021621622,0.23243243,other,0.23243243,0.7675676,0.79096871796589,12
Viniciuszen,48,1476,233,108,79,162,125,101,89,133,54,22,32,338,0.15785907,0.07317073,0.053523034,0.1097561,0.08468835,0.06842818,0.060298104,0.0901084,0.036585364,0.014905149,0.021680217,0.22899729,other,0.22899729,0.7710027,0.9115452167402939,12
Darshaq,49,9,0,0,0,0,0,2,1,0,4,0,0,2,0.0,0.0,0.0,0.0,0.0,0.22222222,0.11111111,0.0,0.44444445,0.0,0.0,0.22222222,cooperative_trick_taking_deduction,0.44444445,0.7777778,0.5123043048023032,4
Frozen Flesh,50,55,4,34,5,0,1,3,0,1,0,0,3,4,0.07272727,0.6181818,0.09090909,0.0,0.018181818,0.054545455,0.0,0.018181818,0.0,0.0,0.054545455,0.07272727,amerithrash_miniatures_lcg,0.6181818,0.92727274,0.5471422137491588,8
janus23,51,145,24,4,9,7,1,8,10,20,9,4,2,47,0.16551724,0.027586207,0.062068965,0.048275862,0.0068965517,0.055172414,0.06896552,0.13793103,0.062068965,0.027586207,0.013793103,0.32413793,other,0.32413793,0.6758621,0.8303151141123146,12
Jumarik45,52,12,0,0,1,2,0,1,1,0,0,1,0,6,0.0,0.0,0.083333336,0.16666667,0.0,0.083333336,0.083333336,0.0,0.0,0.083333336,0.0,0.5,other,0.5,0.5,0.5929809868966076,6
mxke,53,147,19,4,6,29,2,7,9,28,7,2,0,34,0.1292517,0.027210884,0.040816326,0.19727892,0.013605442,0.04761905,0.06122449,0.1904762,0.04761905,0.013605442,0.0,0.23129252,other,0.23129252,0.7687075,0.823238469715345,11
samlamiam,54,309,83,28,4,17,8,26,12,57,8,8,1,57,0.26860842,0.090614885,0.012944984,0.055016182,0.025889968,0.084142394,0.03883495,0.18446602,0.025889968,0.025889968,0.003236246,0.18446602,bgg_golden_age_canon,0.26860842,0.815534,0.8237217532153658,12
AkiraTatar,55,45,3,10,4,4,4,0,0,5,2,0,0,13,0.06666667,0.22222222,0.08888889,0.08888889,0.08888889,0.0,0.0,0.11111111,0.044444446,0.0,0.0,0.2888889,other,0.2888889,0.71111107,0.7651954689253213,8
